variable,mean,std,min,max,rmse
residual_T4_K,427.7083561732345,849.0799342754032,-773.1295418165676,4277.057450575299,950.72139595653
residual_P2_Pa,167.45197114444338,3082.0325644164454,-7573.196579843003,15638.37486264843,3086.5781847806106
residual_T2_K,3.68372203498291,32.852320000188506,-128.95124239714528,65.35504574275427,33.05820227153625
residual_P3_Pa,-1000592.199829821,1164761.5708568995,-5863676.486365856,7035.226422327891,1535530.6142520614
residual_T3_K,1757.9506340692767,1110.2041955187085,403.7194468194501,6441.912131196275,2079.169013710024
residual_RPM_rev_min,53831.866706279674,14738.008551404664,29113.857346967332,79914.82621844982,55812.8907076487
residual_FuelFlow_kg_s,1.013543191330531,0.5139706190313018,0.19051407929915196,1.8979020891608758,1.1364134801734345
residual_Thrust_N,44565.27115529003,16715.830753668524,11801.687089489169,85817.72017639557,47597.08384901134
residual_TSFC_g_N_s,1.5542338748372134e-05,0.004697523548802459,-0.01134171372615754,0.011392024518679269,0.00469754926060892
